index,paras,windows,sl_name,fe_name,method,mean_validation_score
0,"{'kernel': 'rbf', 'C': 1000.0}",0,MinMax,PCA2,SVM,0.9511292834890965
1,"{'kernel': 'rbf', 'C': 100.0}",0,MinMax,PCA2,SVM,0.948273624091381
2,"{'kernel': 'rbf', 'C': 10.0}",0,MinMax,PCA2,SVM,0.9445093457943925
3,"{'kernel': 'rbf', 'C': 1.0}",0,MinMax,PCA2,SVM,0.9328920041536864
4,"{'kernel': 'rbf', 'C': 0.1}",0,MinMax,PCA2,SVM,0.9264018691588785
5,"{'kernel': 'linear', 'C': 100.0}",0,MinMax,PCA2,SVM,0.9243899273104881
6,"{'kernel': 'linear', 'C': 1000.0}",0,MinMax,PCA2,SVM,0.9243899273104881
7,"{'kernel': 'linear', 'C': 10.0}",0,MinMax,PCA2,SVM,0.9242601246105919
8,"{'kernel': 'linear', 'C': 1.0}",0,MinMax,PCA2,SVM,0.9241303219106958
9,"{'kernel': 'linear', 'C': 0.1}",0,MinMax,PCA2,SVM,0.9232217030114226
10,"{'kernel': 'linear', 'C': 0.01}",0,MinMax,PCA2,SVM,0.9145898234683282
11,"{'kernel': 'rbf', 'C': 0.01}",0,MinMax,PCA2,SVM,0.8984942886812046
12,"{'kernel': 'rbf', 'C': 0.001}",0,MinMax,PCA2,SVM,0.7858904465212876
13,"{'kernel': 'linear', 'C': 0.001}",0,MinMax,PCA2,SVM,0.7858904465212876
0,"{'kernel': 'rbf', 'C': 1000.0}",1,MinMax,PCA2,SVM,0.987668743509865
1,"{'kernel': 'linear', 'C': 1000.0}",1,MinMax,PCA2,SVM,0.9876038421599169
2,"{'kernel': 'linear', 'C': 100.0}",1,MinMax,PCA2,SVM,0.9875389408099688
3,"{'kernel': 'linear', 'C': 10.0}",1,MinMax,PCA2,SVM,0.9874740394600208
4,"{'kernel': 'rbf', 'C': 100.0}",1,MinMax,PCA2,SVM,0.9872144340602285
5,"{'kernel': 'rbf', 'C': 10.0}",1,MinMax,PCA2,SVM,0.9868899273104881
6,"{'kernel': 'linear', 'C': 1.0}",1,MinMax,PCA2,SVM,0.9866952232606438
7,"{'kernel': 'rbf', 'C': 0.1}",1,MinMax,PCA2,SVM,0.9864356178608515
8,"{'kernel': 'linear', 'C': 0.1}",1,MinMax,PCA2,SVM,0.9861111111111112
9,"{'kernel': 'rbf', 'C': 1.0}",1,MinMax,PCA2,SVM,0.9857866043613707
10,"{'kernel': 'linear', 'C': 0.01}",1,MinMax,PCA2,SVM,0.9648883696780893
11,"{'kernel': 'rbf', 'C': 0.01}",1,MinMax,PCA2,SVM,0.928478712357217
12,"{'kernel': 'rbf', 'C': 0.001}",1,MinMax,PCA2,SVM,0.7858904465212876
13,"{'kernel': 'linear', 'C': 0.001}",1,MinMax,PCA2,SVM,0.7858904465212876
0,"{'kernel': 'rbf', 'C': 1000.0}",3,MinMax,PCA2,SVM,0.9866952232606438
1,"{'kernel': 'linear', 'C': 100.0}",3,MinMax,PCA2,SVM,0.9865654205607477
2,"{'kernel': 'linear', 'C': 1000.0}",3,MinMax,PCA2,SVM,0.9865654205607477
3,"{'kernel': 'linear', 'C': 10.0}",3,MinMax,PCA2,SVM,0.9865005192107996
4,"{'kernel': 'rbf', 'C': 100.0}",3,MinMax,PCA2,SVM,0.9861760124610592
5,"{'kernel': 'rbf', 'C': 10.0}",3,MinMax,PCA2,SVM,0.9861111111111112
6,"{'kernel': 'linear', 'C': 1.0}",3,MinMax,PCA2,SVM,0.9860462097611631
7,"{'kernel': 'rbf', 'C': 0.1}",3,MinMax,PCA2,SVM,0.9858515057113187
8,"{'kernel': 'linear', 'C': 0.1}",3,MinMax,PCA2,SVM,0.9856568016614745
9,"{'kernel': 'rbf', 'C': 1.0}",3,MinMax,PCA2,SVM,0.985267393561786
10,"{'kernel': 'linear', 'C': 0.01}",3,MinMax,PCA2,SVM,0.9624221183800623
11,"{'kernel': 'rbf', 'C': 0.01}",3,MinMax,PCA2,SVM,0.927570093457944
12,"{'kernel': 'rbf', 'C': 0.001}",3,MinMax,PCA2,SVM,0.7858904465212876
13,"{'kernel': 'linear', 'C': 0.001}",3,MinMax,PCA2,SVM,0.7858904465212876
