method,params,metrics,rt_name,sl_name,training_time,NumOfFeatures,Features - index
Neural,"{'activation': 'relu', 'alpha': 0.005, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (80,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 10000, 'momentum': 0.9, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 755, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.9133333333333333,Identity,ZScore,464.04928040504456,36,all
Neural,"{'activation': 'relu', 'alpha': 0.0005, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (80,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 10000, 'momentum': 0.9, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 755, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.9,Identity,ZScore,484.9120399951935,32,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]"
Logistics,"{'C': 60, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 10000, 'multi_class': 'multinomial', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 755, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8516666666666667,Identity,ZScore,991.8981900215149,36,all
Logistics,"{'C': 60, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 10000, 'multi_class': 'multinomial', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 755, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8516666666666667,Identity,ZScore,740.2264521121979,32,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 27 28 29 30 31 32 33 34]"
Logistics,"{'C': 40, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 10000, 'multi_class': 'multinomial', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 755, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8483333333333334,Identity,Identity,2746.3035683631897,36,all
Logistics,"{'C': 40, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'max_iter': 10000, 'multi_class': 'multinomial', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 755, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8483333333333334,Identity,Identity,2405.393041610718,29,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]"
Neural,"{'activation': 'relu', 'alpha': 0.005, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (80,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 10000, 'momentum': 0.9, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 755, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.7533333333333333,Identity,Identity,104.27059745788574,29,"[ 0  1  3  4  5  7  8  9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
 28 29 31 32 34]"
Neural,"{'activation': 'relu', 'alpha': 0.0005, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (80,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 10000, 'momentum': 0.9, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 755, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.745,Identity,Identity,102.3723394870758,36,all
